frame,vehicle,raw,trimmed,curved,demand,speed,selector,curve
521,1,-80,-61,-35,12,108,3,A
522,1,-80,-61,-35,11,108,3,A
523,1,-80,-61,-35,10,109,3,A
524,1,-80,-61,-35,9,103,3,A
525,1,-80,-61,-35,8,104,3,A
526,1,-80,-61,-35,7,104,3,A
527,1,-80,-61,-35,6,105,3,A
528,1,-80,-61,-35,5,105,3,A
529,1,-80,-61,-35,4,106,3,A
530,1,-80,-61,-35,3,107,3,A
531,1,-80,-61,-35,2,108,3,A
532,1,-80,-61,-35,1,108,3,A
533,1,-80,-61,-35,0,105,3,A
534,1,-80,-61,-35,0,105,3,A
535,1,0,0,0,0,106,3,A
536,1,0,0,0,0,107,3,A
537,1,0,0,0,0,108,3,A
538,1,0,0,0,0,103,3,A
539,1,0,0,0,0,104,3,A
540,1,0,0,0,0,105,3,A
541,1,0,0,0,0,105,3,A
542,1,0,0,0,0,106,3,A
543,1,0,0,0,0,107,3,A
544,1,0,0,0,0,108,3,A
545,1,0,0,0,0,109,3,A
546,1,0,0,0,0,109,3,A
547,1,0,0,0,0,110,3,A
548,1,0,0,0,0,111,3,A
549,1,0,0,0,0,112,3,A
550,1,0,0,0,0,112,3,A
551,1,0,0,0,0,113,3,A
552,1,0,0,0,0,114,3,A
553,1,0,0,0,0,115,3,A
554,1,0,0,0,0,116,3,A
555,1,0,0,0,0,116,3,A
556,1,0,0,0,0,117,3,A
557,1,0,0,0,0,118,3,A
558,1,0,0,0,0,119,3,A
559,1,0,0,0,0,119,3,A
560,1,0,0,0,0,120,3,A
561,1,0,0,0,0,121,3,A
562,1,0,0,0,0,121,3,A
563,1,0,0,0,0,122,3,A
564,1,0,0,0,0,123,3,A
565,1,0,0,0,0,124,3,A
566,1,0,0,0,0,124,3,A
567,1,0,0,0,0,125,3,A
568,1,0,0,0,0,126,3,A
569,1,0,0,0,0,127,3,A
570,1,0,0,0,0,127,3,A
571,1,0,0,0,0,128,3,A
572,1,0,0,0,0,129,3,A
573,1,0,0,0,0,130,3,A
574,1,0,0,0,0,130,3,A
575,1,0,0,0,0,131,3,A
576,1,0,0,0,0,132,3,A
577,1,0,0,0,0,133,3,A
578,1,0,0,0,0,133,3,A
579,1,0,0,0,0,134,3,A
580,1,0,0,0,0,135,3,A
581,1,0,0,0,0,135,3,A
582,1,0,0,0,0,136,3,A
583,1,0,0,0,0,137,3,A
584,1,0,0,0,0,138,3,A
585,1,0,0,0,0,138,3,A
586,1,0,0,0,0,139,3,A
587,1,0,0,0,0,140,3,A
588,1,0,0,0,0,140,3,A
589,1,0,0,0,0,141,3,A
590,1,0,0,0,0,141,3,A
591,1,0,0,0,0,142,3,A
592,1,0,0,0,0,143,3,A
593,1,0,0,0,0,143,3,A
594,1,0,0,0,0,144,3,A
595,1,0,0,0,0,144,3,A
596,1,0,0,0,0,145,3,A
597,1,0,0,0,0,146,3,A
598,1,0,0,0,0,146,3,A
599,1,0,0,0,0,147,3,A
600,1,0,0,0,0,147,3,A
601,1,0,0,0,0,148,3,A
602,1,0,0,0,0,149,3,A
603,1,0,0,0,0,149,3,A
604,1,0,0,0,0,150,3,A
605,1,0,0,0,0,150,3,A
606,1,0,0,0,0,151,3,A
607,1,0,0,0,0,152,3,A
608,1,0,0,0,0,152,3,A
609,1,0,0,0,0,153,3,A
610,1,0,0,0,0,153,3,A
611,1,0,0,0,0,154,3,A
612,1,0,0,0,0,155,3,A
613,1,0,0,0,0,155,3,A
614,1,0,0,0,0,156,3,A
615,1,0,0,0,0,156,3,A
616,1,0,0,0,0,157,3,A
617,1,0,0,0,0,158,3,A
618,1,0,0,0,0,158,3,A
